      ID                     RA                           DEC                          period(a)                     period(b)                    error
                             (deg)                        (deg)                        (day)                         (day)                        (%)
双星：
TIC356920361                 273.67082                    56.58824                     2.0473102                     1.02387                      99.958                        
TIC198457457                 261.8344                     56.37498                     0.4034674                     0.40346                      0.0018                        
TIC8677671                   137.45251                    30.42689                     1.1159648                     1.1159843                    -0.0017                       
TIC353854078                 271.14117                    58.39842                     5.1677964                     5.16952                      -0.0333                       
TIC229687624                 262.98853                    57.17843                     0.617601                      0.617617                     -0.0026                       
TIC270491862                 232.34237                    67.21204                     0.4487958                     0.4487956                    0.0                           
TIC302668828                 163.25439                    57.70222                     5.5049556                     5.50762                      -0.0484                       
TIC229585356                 271.37975                    72.07428                     1.419345                      1.41958                      -0.0166                       
TIC198313291                 233.68839                    62.27898                     0.30672                       0.306718                     0.0007                        
TIC147625755                 184.15231                    64.85759                     0.6758276                     0.6758375                    -0.0015                       
TIC157273321                 198.72686                    59.29567                     5.5293624                     5.52                         0.1696                        
TIC233635280                 146.04742                    25.35318                     1.373756                      1.3741845                    -0.0312                       
TIC406781370                 170.52351                    46.72598                     0.8966822                     0.896686                     -0.0004                       
TIC282925798                 226.959                      63.1171                      2.4447276                     2.44405                      0.0277                        
TIC445836238                 187.54864                    63.88903                     1.9998682                     2.00072                      -0.0426                       
TIC147610499                 148.61924                    69.22285                     0.5288534                     0.52885234                   0.0002                        
TIC389916225                 275.77255                    58.90356                     0.5508842                     0.5508738                    0.0019                        
TIC82224114                  150.93445                    28.23239                     0.3761242                     0.376128                     -0.001                        
TIC202442615                 227.95983                    61.85702                     0.3500824                     0.3500671                    0.0044                        
TIC138578906                 175.75946                    60.57686                     1.2349148                     1.23472                      0.0158                        
TIC257023157                 225.24886                    73.0532                      0.4155538                     0.415546                     0.0019                        
TIC103656297                 152.67788                    67.65881                     0.2877874                     0.2877891                    -0.0006                       
TIC445829772                 173.08732                    49.73602                     0.4103942                     0.4103887                    0.0013                        
TIC198407749                 258.73664                    58.85789                     0.838275                      0.83803                      0.0292                        
TIC335661706                 217.18115                    81.7539                      0.3857244                     0.3971                       -2.8647                       
TIC55778901                  182.26042                    56.03165                     0.354557                      0.354538609                  0.0052                        
TIC453431591                 147.30269                    52.10079                     1.0098308                     1.009849                     -0.0018                       
