ID                             RA                        DEC                          flare             AMP_max          tiem_amp_max
                               (deg)                     (deg)                                          (normalize flux) (BTJD day)
TIC56914413                    139.43629                 46.20685                      46               1.1056           1894.57526           
TIC154066690                   207.15555                 71.43062                      7                1.0492           1881.496229           
TIC56936482                    140.4545                  43.5078                       12               1.2655           1879.767287           
TIC9337981                     138.36599                 36.09413                      9                1.0461           1893.949346           
TIC232633119                   269.39228                 58.7373                       16               1.0629           1874.274036           
TIC29172363                    135.81148                 42.12356                      9                1.1768           1889.529724           
TIC39699561                    136.77361                 47.15332                      9                1.0112           1881.814341           
TIC88723334                    151.08943                 50.38705                      28               1.3203           1893.369531           
TIC159613900                   219.75088                 64.29166                      9                1.018            1874.609579           
TIC357032546                   274.06989                 54.17267                      6                1.0484           1890.948702           
TIC257048642                   226.98438                 76.20075                      4                1.1435           1880.649858           
TIC311578368                   159.62412                 48.52911                      23               1.2461           1893.654275           
TIC219790151                   264.6651                  61.23782                      5                1.1635           1874.572991           
TIC232634683                   269.49555                 55.10218                      4                1.1112           1874.807079           
TIC236778955                   282.88979                 57.75762                      12               1.0745           1871.270841           
TIC103632031                   151.82382                 69.34602                      5                1.1927           1878.340635           
TIC341687654                   192.2615                  66.1102                       6                1.0274           1882.38018           
TIC3664898                     127.45564                 26.77601                      14               1.798            1875.113677           
TIC356198675                   266.94551                 52.22787                      5                1.0459           1891.116976           
TIC280163882                   298.67505                 68.9893                       5                1.1007           1894.207447           
TIC416857959                   142.84374                 39.04495                      8                1.0336           1888.404899           
TIC307907087                   140.91804                 32.32923                      8                1.0821           1881.34128           
TIC330753460                   144.13069                 28.3398                       1                1.191            1872.598128           
TIC147938514                   166.66266                 70.30726                      4                1.0313           1886.149999           
TIC288312840                   262.66386                 78.93121                      4                1.2057           1874.100759           
TIC9271387                     137.34122                 39.41753                      7                1.0604           1882.106346           
TIC392365135                   155.96609                 43.89254                      10               1.4805           1894.957338           
TIC441792937                   263.17183                 74.22732                      1                1.0059           1880.980917           
TIC450327316                   159.94779                 38.73136                      5                1.0373           1875.968329           
TIC453428902                   146.79975                 51.90249                      6                2.3194           1886.144552           
TIC1981303680                  300.3916                  70.4545                       4                1.0327           1887.014642           
TIC252803724                   166.51976                 42.88041                      3                1.4583           1872.369228           
TIC157835109                   149.82831                 43.84039                      13               1.4828           1887.30048           
TIC103571388                   149.62518                 67.05444                      9                1.0829           1887.183761           
TIC230086683                   246.7843                  66.4374                       1                1.0672           1894.049095           
TIC117159425                   129.3451                  26.2066                       1                1.2674           1873.51368           
TIC252805299                   166.76132                 44.00471                      4                1.0275           1876.019317           
TIC105485567                   144.00729                 42.85845                      5                1.0351           1872.601935           
TIC8292258                     163.06813                 41.82622                      4                1.1919           1896.080948           
TIC252805947                   166.88356                 43.76565                      1                1.1225           1896.804392           
TIC318230983                   162.86183                 48.69546                      11               1.0237           1892.162547           
TIC156817668                   140.6081                  40.20106                      8                1.0943           1887.340975           
TIC56933779                    139.7537                  46.18209                      5                1.0243           1879.113008           
TIC236982345                   305.29802                 63.98012                      1                1.0011           1895.390199           
TIC233208885                   266.35189                 69.30608                      1                1.1461           1890.020762           
TIC8292302                     163.09254                 41.48936                      1                1.0248           1882.265534           
TIC103687176                   153.93156                 66.07866                      7                1.0875           1873.617235           
TIC357498249                   267.92243                 73.0865                       3                1.0122           1895.020903           
TIC86339506                    143.44394                 62.82785                      9                1.0362           1892.950642           
TIC154486565                   185.5489                  73.24848                      1                0.998            1895.674376           
TIC105440997                   143.52628                 44.03645                      2                1.004            1888.190788           
TIC445836238                   187.54864                 63.88903                      4                0.9995           1871.998308           
TIC229480487                   295.52485                 65.7805                       2                1.0346           1879.472715           
TIC287095354                   137.48306                 54.48826                      3                1.144            1895.359458           
TIC219117614                   272.48125                 69.6805                       1                1.0071           1897.33308           
TIC202295392                   175.19314                 51.99817                      5                1.0228           1890.04815           
TIC159346490                   236.23571                 79.51714                      2                1.0382           1880.483071           
TIC138505004                   157.51331                 61.81151                      1                1.0196           1871.07156           
TIC155657581                   206.39529                 79.39675                      1                1.0365           1880.958584           

