 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 142443425       146.551734     67.097474      5041.0         4.59638023     
 TIC 233569141       281.719845     64.892289      6695.0         4.1076498      
 TIC 149453421       141.220355     24.330648      4891.81005859  None           
 TIC 353807236       270.221823     58.546259      6376.25976563  4.35200024     
 TIC 372759279       175.006        75.155963      7653.0         3.95194006     
 TIC 353854078       271.141173     58.398418      6595.0         3.40754008     
 TIC 233174217       216.631451     70.313601      6273.0         4.18632984     
 TIC 219771660       262.980371     62.54581       5229.0         None           
 TIC 126325291       135.481046     26.689652      5599.47998047  4.49018002     
 TIC 148914403       187.183092     68.920246      6129.33984375  3.85853004     
 TIC 229776723       282.868819     68.410262      4728.0         4.40051985     
 TIC 219859691       257.819404     69.503026      None           None           
 TIC 147936305       166.151925     70.38709       6948.0         4.12740993     
 TIC 441732151       257.876722     72.135506      6069.0         4.46210003     
 TIC 229585356       271.379754     72.074279      5475.0         3.94882989     
 TIC 233544319       281.398281     64.067424      7175.0         None           
 TIC 232634196       269.438515     56.195957      6351.60009766  3.7221601      
 TIC 356632361       232.314224     64.926644      6039.0         4.42420006     
 TIC 257023157       225.248863     73.053198      5960.0         None           
 TIC 229461186       295.10263      60.920275      6354.0         4.16822004     
 TIC 229945262       288.14932      63.151224      3682.0         4.28258991     
 TIC 198388252       258.195339     57.052889      6074.0         4.16321993     
 TIC 233207585       266.001392     70.258838      5381.0         4.32472992     
 TIC 288391801       267.235296     78.122855      6110.0         4.22781992     
 TIC 420108639       284.879751     73.39566       5945.0         4.50812006     
 TIC 154067797       207.484319     66.474449      5930.0         4.1679101      
 TIC 441734144       258.55816      76.703975      5105.0         4.27128983     
 TIC 358613523       175.102894     80.235981      7271.0         4.27802992     
 TIC 289722957       274.180503     53.246496      7069.5         4.03904009     
 TIC 287095354       137.483065     54.488257      5139.0         4.35042        
 TIC 331940958       147.991566     55.725667      None           None           
 TIC 258826816       287.370486     69.78544       6158.0         4.41533995     
 TIC 290030574       135.78701      41.296545      None           None           
 TIC 150225473       143.061795     49.848525      6597.0         4.83114004     
 TIC 383676981       279.174549     63.737127      6889.0         3.95962        
 TIC 236901679       303.923299     65.853611      6029.0         3.44812012     
 TIC 199716496       254.391168     59.531069      5764.0         4.04341984     
 TIC 453431591       147.30269      52.100793      4933.64013672  4.30475998     
