ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 160518690       240.126749     75.566339      5266.0         4.54459        
TIC 160182947       245.258108     84.861017      5676.0         4.46301985     
TIC 233605660       283.003904     61.996909      4786.0         4.56700993     
TIC 356310722       268.021173     52.538776      4034.0         None           
TIC 219884807       261.819774     70.887419      7221.0         4.0230999      
TIC 272636176       231.350015     69.768197      7038.0         3.64246988     
TIC 293624081       135.661451     56.602163      5151.31982422  4.61800003     
TIC 230015169       291.445835     64.667995      3123.0         5.06563997     
TIC 1042290         153.936306     27.417326      4725.0         4.60534        
TIC 392381181       171.038681     47.194047      4479.49023438  None           
TIC 318354739       165.420273     49.609443      4520.0         None           
TIC 165858153       130.87708      30.111394      5354.43994141  4.63035011     
TIC 27000631        151.028557     23.593861      3998.0         None           
TIC 445833697       173.34054      50.74132       4704.56982422  None           
TIC 330795189       144.387329     28.025225      5927.62011719  4.43339014     
TIC 457131416       136.350394     48.530316      6460.0         None           
TIC 137709228       140.575083     55.102576      4206.0         None           
TIC 166645754       136.425643     33.8934        5196.25        4.60245991     
TIC 229553174       238.419871     61.686508      4403.0         None           
TIC 126322885       135.254337     26.252268      4438.0         None           
TIC 230058860       228.76345      71.748418      6620.0         4.06267977     
TIC 8853846         142.465294     31.668465      5463.77978516  4.53879023     
TIC 117279680       131.113118     26.028178      4735.29980469  None           
TIC 297930593       152.718706     53.638444      4844.68017578  4.49539995     
TIC 3699009         127.794091     26.162497      6825.16992188  4.16263008     
TIC 230126339       251.205883     66.77816       5025.0         None           
TIC 257022611       225.584515     75.806489      5730.0         4.51145983     
TIC 8942684         153.312989     31.377922      6488.5         4.02832985     
TIC 445836407       187.506007     62.847622      6234.0         4.41767979     
TIC 219863247       258.322786     69.650836      7447.0         4.08390999     
TIC 229977459       290.281734     62.160113      6474.0         3.60169005     
TIC 241190564       152.963691     29.474974      9028.0         3.7507         
TIC 367753082       250.172817     82.890825      5376.0         4.59330988     
TIC 229641974       279.381661     76.827046      6015.0         4.48997021     
TIC 286752222       143.53645      22.746798      4022.82006836  None           
TIC 298072669       200.671037     73.811708      6741.0         4.32282019     
TIC 149451912       141.068057     28.116079      4928.97998047  None           
TIC 341571306       201.737326     61.223358      4664.0         None           
TIC 29207499        152.248209     44.226569      4746.0         4.30885983     
TIC 285005062       138.424767     25.254377      7292.0         4.02117014     
TIC 21508071        133.160956     47.711258      5246.0         4.60042        
TIC 142634387       171.329236     73.980583      4404.0         None           
TIC 8818194         142.277669     32.298405      3559.0         None           
TIC 256747813       300.957205     65.689459      4784.0         None           
TIC 367600394       164.77572      55.694015      7364.0         4.35641003     
TIC 230133406       252.414502     68.736012      5309.0         4.53730011     
TIC 21413209        134.922598     37.024589      4193.0         4.21703005     
TIC 285009231       146.293651     27.741439      7909.06982422  4.22349024     
TIC 441811910       266.909077     73.132679      5963.74023438  4.47694016     
TIC 406927322       287.406717     58.275356      7019.68017578  4.27958012     
TIC 165882767       131.001437     35.037511      6407.66015625  3.96940994     
TIC 99937762        170.170639     62.283261      4423.0         None           
TIC 287139051       252.849529     61.734206      4256.0         None           
TIC 142936576       178.913948     71.887878      5805.0         None           
TIC 160307768       188.214262     83.454311      4202.0         None           
TIC 230018696       291.503829     60.170308      6396.0         None           
TIC 219812248       267.2698       61.2634        None           5.12126017     
TIC 372528113       145.738299     72.25262       5024.83007813  None           
TIC 99761759        141.04987      44.455979      4812.0         None           
TIC 198182923       245.171193     65.414174      4529.0         4.62882996     
TIC 17258500        147.368552     36.747388      3949.0         None           
TIC 233542195       281.131621     63.322086      6258.0         4.35087013     
TIC 154106493       211.010724     69.212609      6481.0         4.19111013     
TIC 318216732       142.738824     51.840072      7195.0         4.28622007     
TIC 160602762       244.813538     75.627826      5046.0         None           
TIC 357527401       270.053241     56.697979      6045.12011719  4.50513983     
TIC 353932214       157.526866     38.925134      8511.0         None           
TIC 159346878       236.152179     80.932172      4202.0         None           
TIC 420175275       291.973104     73.770597      5641.0         4.61935997     
TIC 316311608       142.17653      54.210376      4525.12988281  None           
TIC 233201616       265.347282     67.151993      4127.0         None           
TIC 287096774       137.654577     57.980958      4566.0         None           
TIC 229608606       274.49598      74.501388      6828.0         None           
TIC 199682938       252.485816     58.38934       4982.0         4.61544991     
TIC 160268226       182.446191     74.661354      6299.0         3.5759201      
TIC 219468173       209.955547     77.0499        5651.0         4.56556988     
TIC 148967476       191.351775     66.115472      4631.0         None           
TIC 258701001       285.677059     68.712174      3969.0         None           
TIC 349825251       143.95051      29.437165      4670.83984375  None           
TIC 420175925       292.078975     74.933237      5191.0         4.63134003     
TIC 229537733       195.890531     70.879987      6440.0         4.11432981     
TIC 86232782        139.723689     62.842839      6749.0         3.50958991     
TIC 233724023       276.635657     60.618623      7317.0         4.15555        
TIC 8190105         156.125509     40.13229       4590.89990234  None           
TIC 160521779       240.64018      76.058075      6809.0         3.99611998     
TIC 147898225       164.680974     67.592892      4849.0         None           
TIC 99867708        166.400897     64.80398       6774.0         3.9656601      
TIC 402894400       302.71326      68.156208      7230.0         4.09614992     
TIC 233625787       284.32225      62.396773      5045.0         None           
TIC 459186567       176.731762     55.628191      4525.75976563  None           
TIC 229514230       297.312796     60.325221      6424.0         4.29462004     
TIC 406854936       274.784341     71.517855      6601.60009766  4.1280899      
TIC 202467020       228.626779     64.901145      4921.0         None           
TIC 383648451       279.044291     65.074953      8048.0         3.9460299      
TIC 9271043         137.479771     41.188969      5419.81005859  4.58452988     
TIC 10052248        133.251803     48.727449      4457.0         None           
TIC 230121536       250.466632     70.815257      6464.0         4.40323019     
TIC 257022384       225.475325     77.120767      3930.0         4.6454401      
TIC 318193096       142.246669     50.031115      3757.0         None           
TIC 233169434       215.171589     68.455952      7266.0         3.61846995     
TIC 99867726        166.405955     64.915401      4593.0         None           
TIC 414964448       140.776382     22.305679      4554.0         4.55473995     
TIC 4895700         147.922285     31.466179      5342.00976563  4.31594992     
TIC 453428169       146.582779     48.639587      3430.0         4.82471991     
TIC 414988379       141.409088     22.632256      7407.0         3.8252399      
TIC 159509748       247.568769     79.111298      5524.0         4.54604006     
TIC 160269936       183.164271     72.299539      6492.0         4.32937002     
TIC 139418613       154.266085     31.493933      4398.41015625  None           
TIC 272781325       238.153167     71.725523      3164.0         5.04629993     
TIC 233433041       147.540829     27.550316      5578.0         4.58140993     
TIC 229686929       263.044035     55.184242      7443.0         4.21964979     
TIC 263602077       159.217332     75.870867      4594.0         None           
TIC 318354980       165.399484     48.056584      5034.0         None           
TIC 160227884       181.80463      73.328583      6619.0         4.00194979     
TIC 236767970       273.724845     68.565247      3891.0         None           
TIC 219867444       259.054964     71.792352      4803.0         None           
TIC 142446120       147.061057     66.324472      4641.0         None           
TIC 188510956       143.376511     36.486948      4493.0         None           
TIC 159159131       166.594191     57.667016      4704.0         None           
TIC 259002783       289.91374      66.973982      3811.0         None           
TIC 239196353       146.540871     26.053837      4341.0         None           
TIC 88004994        146.928474     20.604756      6582.0         3.66918993     
TIC 257047932       226.723469     75.98529       8360.0         4.23812008     
TIC 252804773       166.70223      47.421196      4735.02001953  None           
TIC 256624190       300.304134     62.391781      3704.0         None           
TIC 148907939       185.103294     71.711893      5152.0         4.58471012     
TIC 233059604       269.793987     64.143924      6592.0         4.29656982     
TIC 229979957       290.213722     65.865105      7300.0         4.11815023     
TIC 142751098       152.366137     74.090118      5753.0         4.46659994     
TIC 256323002       297.768746     63.968127      6855.0         4.00419998     
TIC 117507742       138.162405     29.034842      5966.29003906  None           
TIC 362212370       270.985705     56.373988      6252.77001953  4.44794989     
TIC 232971196       199.095433     71.471644      3282.0         4.94009018     
TIC 256617358       300.129978     64.142188      4380.0         None           
TIC 235678638       285.432286     75.059273      5746.0         4.47528982     
