 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 156198986       180.822255     80.561869      7476.0         3.89243007     
 TIC 229549395       183.305279     63.844252      5531.0         4.54134989     
 TIC 233659263       259.920385     62.619241      11572.0        4.34935999     
 TIC 232628654       269.043569     56.948841      3352.0         4.76159        
 TIC 230089225       247.234981     67.818155      3207.0         5.01043987     
 TIC 67596851        131.522674     38.230996      3252.0         4.99490023     
 TIC 355175840       139.829302     38.523151      3141.0         5.00665998     
 TIC 157835109       149.828307     43.840392      3303.0         4.87525988     
 TIC 289714634       145.540949     33.768799      4497.0         4.62708998     
 TIC 416520176       157.689609     57.95691       5189.02001953  4.54009008     
 TIC 285009028       146.22056      28.708503      8232.0         4.13001013     
 TIC 154126070       212.360463     69.590443      10181.0        4.07126999     
 TIC 198557860       238.295269     62.595799      3092.0         4.91790009     
 TIC 137672877       139.78484      56.353584      3464.0         4.9411602      
 TIC 308054070       152.46685      29.087934      4249.62988281  None           
 TIC 229687980       262.980563     58.33815       3144.0         5.04040003     
 TIC 258956843       289.24541      68.335044      7083.0         3.81605005     
 TIC 154069906       207.937944     67.519446      3416.0         4.80042982     
 TIC 88723334        151.089429     50.387052      3517.0         4.71783018     
 TIC 3941985         151.931085     23.991756      6593.0         3.27701998     
 TIC 138505829       157.727693     65.945457      3323.0         4.87053013     
 TIC 367737788       249.969218     79.784266      3851.0         4.60672998     
 TIC 149344460       138.547719     29.040543      6277.81982422  4.54590988     
 TIC 232616666       259.44034      64.527729      3356.0         4.86922979     
 TIC 288471156       271.627432     78.386251      3132.0         5.00263023     
 TIC 251090955       140.260496     49.098317      7683.12011719  3.86611009     
 TIC 142276270       192.184889     64.855319      5767.0         4.47046995     
 TIC 311577797       159.339487     50.551182      7023.0         4.11562014     
 TIC 334637029       235.559742     65.553413      3311.0         4.83023024     
 TIC 148893514       184.495607     66.113481      6842.0         3.99245        
 TIC 17191554        145.138764     38.418067      3056.0         5.11207008     
 TIC 258352700       296.509036     67.737997      7375.0         3.75213003     
 TIC 198236067       248.831896     62.582432      3154.0         4.99316978     
 TIC 138666445       136.55801      28.955201      6471.16015625  4.30944014     
 TIC 138618727       176.810407     61.258831      29580.0        5.4359498      
 TIC 88647937        135.994987     40.377546      3073.0         5.0188899      
 TIC 232633119       269.392283     58.737302      4656.04003906  4.41831017     
 TIC 307913606       141.211686     30.693605      3378.0         4.80772018     
 TIC 188504653       134.12715      40.201474      6843.0         3.64515996     
 TIC 287224673       143.961352     48.491602      6523.20019531  3.7032299      
 TIC 229436791       293.265025     62.243027      5845.0         None           
 TIC 154563894       189.15846      73.298508      5903.0         4.48499012     
 TIC 230120143       250.08584      67.601335      2868.0         5.06697989     
 TIC 26973853        150.164613     23.555984      8821.0         4.3001399      
 TIC 148654862       157.884828     50.738074      3237.0         4.82755995     
 TIC 165530589       266.450058     58.888618      3159.0         4.96417999     
 TIC 229472460       295.19739      63.825158      6367.0         None           
 TIC 310782996       156.849786     61.720436      3379.0         4.85170984     
 TIC 357595904       270.096187     57.418029      6945.0         4.25845003     
 TIC 142940412       179.457528     66.562231      3090.0         5.06499004     
 TIC 450325956       159.716666     36.582257      5176.64990234  4.69796991     
 TIC 257061830       227.292279     76.974465      3277.0         4.92601013     
 TIC 224601129       255.134652     59.38859       3353.0         4.85290003     
 TIC 237097549       239.727692     66.054998      7225.0         3.94837999     
 TIC 67949480        142.663018     46.067819      6163.39990234  None           
 TIC 288383445       266.053697     80.943089      6900.0         4.13072014     
 TIC 154998384       142.302929     26.531631      5082.0         4.52415991     
 TIC 357132618       144.221481     44.066778      7576.10009766  4.01543999     
 TIC 8916237         152.305908     33.340046      6034.89013672  None           
 TIC 198178340       244.34739      62.063253      5552.0         4.27881002     
 TIC 159466193       245.429012     79.843809      3726.0         4.67692995     
 TIC 459217933       194.183511     69.526595      6800.0         4.14153004     
 TIC 105485567       144.007289     42.858453      4077.0         4.55510998     
 TIC 138579249       175.782486     62.343475      3055.0         5.0891099      
 TIC 86338257        143.220992     62.72371       6163.0         4.43452978     
 TIC 236778355       282.879137     58.716082      5493.0         4.06274986     
 TIC 88099283        148.479886     20.946333      3089.0         5.10574007     
 TIC 239200286       148.696756     21.408601      4483.0         None           
 TIC 159336052       234.23327      81.080773      4233.0         4.67763996     
 TIC 229706827       278.015501     70.043284      None           4.70541        
 TIC 232633722       269.433329     57.269705      31000.0        5.59961987     
 TIC 236757919       272.70828      70.269441      5334.0         4.48100996     
 TIC 173001595       150.455068     30.009846      4874.0         None           
 TIC 141120071       165.406361     57.490831      5395.0         4.25702        
 TIC 367681735       246.956148     72.971681      4393.0         4.5759201      
 TIC 198416255       260.113512     59.198929      8115.0         3.62280989     
 TIC 280069113       297.98669      67.283847      3295.0         4.77128983     
 TIC 357032575       274.030568     54.130032      5100.0         4.39958        
 TIC 149369278       139.211581     24.815549      3090.0         4.90006018     
 TIC 233532220       280.49705      63.27649       3411.0         4.79914999     
 TIC 154108146       211.643974     66.218863      5894.0         4.51066017     
 TIC 149438705       140.412734     26.551328      3155.0         5.06078005     
 TIC 229778044       283.022588     66.143194      7023.0         4.14217997     
 TIC 88062825        147.964457     23.188076      3342.0         4.88435984     
 TIC 149927582       161.917039     61.569301      3239.0         4.90763998     
 TIC 154106334       211.082667     70.003862      3325.0         4.91595984     
 TIC 219855010       256.768846     67.16128       3012.0         5.0644598      
 TIC 389917444       276.091613     58.569458      7101.0         4.16585016     
 TIC 233657141       259.721452     64.295905      3225.0         4.92605019     
 TIC 173004464       150.757918     34.555374      3246.0         4.92244005     
 TIC 353898013       271.899854     56.324229      3230.0         4.89622021     
 TIC 355816698       151.801954     65.677659      6316.0         4.39372015     
 TIC 39714846        137.196225     42.48745       5363.33007813  4.44330978     
 TIC 459762306       136.484775     55.389686      6966.0         3.88221002     
 TIC 219873323       260.110337     67.061223      5497.0         4.48363018     
 TIC 155657579       206.479551     79.387175      3304.0         4.89607        
 TIC 357050556       274.888048     58.107251      None           None           
 TIC 150276417       161.046994     44.678926      6710.77001953  None           
 TIC 224300265       185.839068     59.380136      3376.0         4.80212021     
 TIC 288347732       264.856082     79.163524      6783.18017578  3.96610999     
 TIC 157835110       149.837197     43.840458      3267.0         4.90050983     
 TIC 142619583       171.105624     77.704341      7615.0         4.34248018     
 TIC 99091734        130.755052     40.997715      7344.52978516  3.72352004     
 TIC 166087190       214.763732     64.862868      3392.0         4.82479        
 TIC 153976712       203.580764     66.266557      3338.0         4.79406023     
 TIC 259100107       291.278349     68.465876      3163.0         4.95033979     
 TIC 355977195       179.901242     73.59021       3414.0         4.85502005     
 TIC 219463771       208.411646     77.618931      3276.0         4.93727016     
 TIC 272749537       236.50435      70.374491      5517.0         4.5006299      
 TIC 147892875       142.66324      68.224075      3527.0         4.75712013     
 TIC 142904393       177.474683     70.043582      5900.0         4.48157978     
 TIC 446135128       147.143722     54.264914      6842.81005859  3.91651011     
 TIC 406857100       274.738468     66.192584      3120.0         5.12163019     
 TIC 142808731       162.803791     66.179881      3293.0         4.99556017     
 TIC 99832932        164.802097     63.66657       6030.0         None           
 TIC 219750629       261.024732     64.222471      6391.0         4.34498978     
 TIC 86374487        144.222518     62.014072      3183.0         4.88329983     
 TIC 270491865       232.350534     67.204446      6209.0         None           
 TIC 289704113       144.968198     51.308477      3286.0         4.94831991     
 TIC 147611197       148.934849     66.243864      6394.0         4.18300009     
 TIC 29172806        135.782444     44.58559       6191.12988281  None           
 TIC 453444667       147.858079     53.158534      None           None           
 TIC 150265769       159.903074     43.102558      None           None           
 TIC 142792148       162.724684     66.277557      7033.0         4.19786978     
 TIC 450324381       159.392314     39.099547      3300.0         4.91914988     
 TIC 243315719       289.37254      59.365104      6510.0         4.33362007     
 TIC 229640059       279.112577     71.887724      5334.0         4.30383015     
 TIC 126236560       133.426399     26.498988      5027.0         4.18003988     
 TIC 356735215       254.824045     68.678893      7174.0         3.99364996     
 TIC 258826647       287.226878     70.159117      31000.0        5.59961987     
 TIC 198557730       238.219311     62.08455       5348.0         None           
 TIC 308016265       150.007126     24.552805      4810.0         4.17004013     
 TIC 219790149       264.670444     61.233138      3233.0         4.89824009     
 TIC 103700423       155.329652     66.687727      3237.0         4.9527998      
 TIC 160440137       236.875839     73.947699      6265.0         3.90312004     
 TIC 160272538       186.212893     79.346898      3234.0         4.87998009     
 TIC 272758460       237.3825       71.1742        None           4.96170998     
 TIC 103687176       153.931562     66.078663      3818.0         4.60559988     
 TIC 105379659       142.183058     46.520982      3086.0         5.07649994     
 TIC 335719772       222.9877       63.133         None           5.02452993     
 TIC 219461569       207.823494     77.050242      4032.0         4.59868002     
 TIC 450326170       159.781801     37.91          6083.95996094  3.5936799      
 TIC 229913521       287.427531     64.858926      6447.0         3.20637012     
 TIC 199573123       241.436709     65.069775      3154.0         5.02994013     
 TIC 233233165       267.193105     66.249621      3231.0         4.97039986     
 TIC 256978045       302.289532     64.052443      8641.0         None           
 TIC 166493797       134.382382     31.00633       4575.43017578  4.58345985     
 TIC 99785582        141.600745     47.526285      5370.0         4.56712008     
 TIC 230073281       243.991299     65.959015      3337.0         4.88037014     
 TIC 39732627        154.031016     42.486367      3234.0         4.97158003     
 TIC 115859332       157.894975     43.26474       6944.39013672  4.26410007     
 TIC 229675482       253.400405     73.739715      5723.0         4.50615978     
 TIC 219807217       266.441193     59.988842      3262.0         4.89337015     
 TIC 21190018        276.538371     53.471925      6308.0         4.37923002     
 TIC 453428308       146.71361      48.053431      5469.85009766  4.5341301      
 TIC 105485569       144.008528     42.861844      3939.0         4.63661003     
 TIC 8246331         161.542266     40.303898      3416.0         4.80576992     
 TIC 230077015       244.63917      70.512564      6067.0         4.2357502      
 TIC 288162976       222.081761     82.896414      5342.0         4.60770988     
 TIC 159312066       230.527375     78.932407      3031.0         4.97096014     
 TIC 233201450       265.3739       67.582381      6281.0         None           
 TIC 230060668       229.262476     69.863854      3199.0         4.98727989     
 TIC 229535724       195.575107     69.835137      3220.0         4.99356985     
 TIC 298662657       277.909066     54.614955      6165.0         4.35830021     
 TIC 138686329       136.58634      29.795732      5107.00976563  4.61723995     
 TIC 229588059       271.882617     75.523034      4230.0         4.52963018     
 TIC 331946878       162.350495     55.28085       6241.0         4.33704996     
 TIC 233071926       270.739171     60.417325      4875.0         4.56746006     
 TIC 237278994       299.659092     72.238581      6517.0         4.29539013     
 TIC 353871287       271.337223     55.105397      6169.75        3.25702        
 TIC 302750274       169.698704     57.918035      5939.0         4.43523979     
 TIC 232985036       242.380007     67.364998      6273.0         3.56108999     
 TIC 279825533       138.117608     49.206484      5354.50976563  4.20124006     
 TIC 160272537       186.200565     79.345152      None           None           
 TIC 219790151       264.665101     61.237817      None           None           
 TIC 160438504       236.250116     76.906267      4519.0         4.59635019     
 TIC 159345743       235.971326     82.440144      5917.0         4.49092007     
 TIC 117276909       130.904731     28.981982      3202.0         5.06604004     
 TIC 459222932       201.919891     64.011922      5331.0         4.44481993     
 TIC 105484834       143.934785     44.994099      3266.0         4.92825985     
 TIC 142785398       154.505237     75.224386      None           None           
 TIC 420137030       291.928547     74.160227      5935.0         4.39794016     
 TIC 230090756       247.674527     70.155267      3042.0         5.06518984     
 TIC 56914404        139.571585     46.153143      7358.25        3.90143991     
 TIC 284660677       179.190694     57.38477       3779.0         4.67714024     
 TIC 233195637       264.426154     69.079977      None           4.99852991     
 TIC 258957113       289.377528     68.901976      6599.0         4.35788012     
 TIC 252463437       149.685133     50.125157      10882.0        3.69979        
 TIC 284929250       132.816713     32.661918      3189.0         5.00605011     
 TIC 459978466       255.545337     65.228673      4465.0         4.69388008     
 TIC 230079674       245.203556     70.247413      4827.0         4.5550499      
 TIC 125528956       144.65671      26.865599      4336.0         4.63179016     
 TIC 237105410       256.381876     78.877738      6411.0         3.58887005     
 TIC 302581695       133.482012     35.538295      9101.0         None           
 TIC 269663822       301.41842      68.540795      None           None           
 TIC 229966103       289.54858      60.960034      12479.0        None           
 TIC 355175842       139.828929     38.521085      3158.0         4.99416018     
 TIC 233070089       270.877289     64.624876      2993.0         5.08412981     
 TIC 229766985       281.973937     66.35824       5935.0         4.29282999     
 TIC 159527171       190.888635     60.01464       4993.0         4.55389977     
 TIC 272615711       231.206535     66.866758      3745.0         4.63203001     
 TIC 302602874       133.842527     32.710081      8157.0         4.24817991     
